MW,Station,Months,PLFC,AFC,L,NG
420,Bhusawal,30-04-11,78.51,95.97,81.80,213.363
420,Bhusawal,May-11,68.33,86.72,78.80,190.426
420,Bhusawal,Jun-11,75.15,94.37,79.63,202.996
420,Bhusawal,Jul-11,54.45,73.88,73.70,150.204
420,Bhusawal,Aug-11,44.21,76.64,57.69,118.716
420,Bhusawal,Sep-11,23.35,36.37,64.21,60.037
420,Bhusawal,Oct-11,43.13,62.19,69.36,117.141
420,Bhusawal,Nov-11,65.71,93.33,70.40,176.283
420,Bhusawal,Dec-11,72.68,88.25,82.35,203.945
420,Bhusawal,Jan-12,76.82,91.61,83.86,215.510
420,Bhusawal,Feb-12,74.16,91.53,81.02,194.142
420,Bhusawal,Mar-12,78.37,94.58,82.86,219.323
420,Bhusawal,Apr-13,71.41,94.75,75.37,192.87
420,Bhusawal,May-13,64.75,89.53,72.32,179.77
420,Bhusawal,Jun-13,43.21,67.60,63.92,113.11
420,Bhusawal,Jul-13,55.83,90.26,61.85,151.666
420,Bhusawal,Aug-13,44.37,78.38,56.60,118.319
420,Bhusawal,Sep-13,53.68,83.08,64.61,141.425
420,Bhusawal,Oct-13,44.36,70.06,63.31,119.72
420,Bhusawal,Nov-13,67.30,95.83,70.23,179.93
420,Bhusawal,Dec-13,63.62,93.63,67.95,175.30
420,Bhusawal,Jan-14,60.46,89.57,67.50,166.10
420,Bhusawal,Feb-14,62.27,88.22,70.59,154.98
420,Bhusawal,Mar-14,49.40,80.27,61.54,133.71
420,Bhusawal,Apr-14,54.39,88.16,61.70,142.20
420,Bhusawal,May-14,55.47,88.60,62.60,150.09
420,Bhusawal,Jun-14,42.71,65.10,65.60,111.80
420,Bhusawal,Jul-14,35.74,56.26,63.53,95.53
420,Bhusawal,Aug-14,36.43,60.60,60.11,96.53
420,Bhusawal,Sep-14,18.92,32.32,58.53,46.11
420,Bhusawal,Oct-14,22.19,35.29,62.87,58.52
420,Bhusawal,Nov-14,22.06,33.01,66.84,56.99
420,Bhusawal,Dec-14,20.82,29.21,71.28,55.37
420,Bhusawal,Jan-15,8.84,12.17,72.66,21.74
420,Bhusawal,Feb-15,3.78,5.25,71.92,7.31
420,Bhusawal,Mar-15,35.35,44.17,80.04,97.54
420,Bhusawal,Apr-15,25.61,31.23,82.01,67.95
420,Bhusawal,Jun-15,24.30,30.39,79.97,64.31
420,Bhusawal,Jul-15,37.09,46.09,80.47,102.37
420,Bhusawal,Aug-15,35.81,46.61,76.84,98.57
420,Bhusawal,Sep-15,40.14,50.00,80.29,107.95
420,Bhusawal,Oct-15,31.38,40.58,77.32,85.54
420,Bhusawal,Nov-15,69.75,86.48,80.65,188.78
420,Bhusawal,Jan-16,81.40,100.00,81.40,229.55
420,Bhusawal,Feb-16,76.35,94.89,80.46,200.59
420,Bhusawal,Mar-16,65.55,81.72,80.21,183.28
420,Chandrapur,30-04-11,76.74,93.10,82.43,1171.810
420,Chandrapur,May-11,73.51,98.23,74.84,1154.763
420,Chandrapur,Jun-11,68.72,95.22,72.18,1039.449
420,Chandrapur,Jul-11,44.61,64.87,68.78,690.905
420,Chandrapur,Aug-11,41.52,68.85,60.30,633.891
420,Chandrapur,Sep-11,42.88,77.09,55.62,631.995
420,Chandrapur,Oct-11,67.37,93.74,71.87,1056.098
420,Chandrapur,Nov-11,65.93,81.15,81.24,1010.376
420,Chandrapur,Dec-11,69.33,84.02,82.51,1094.001
420,Chandrapur,Jan-12,78.35,93.00,84.25,1246.397
420,Chandrapur,Feb-12,83.45,96.52,86.46,1245.038
420,Chandrapur,Mar-12,77.51,88.60,87.48,1235.105
2340,Chandrapur,Apr-13,70.51,87.09,80.97,1082.366
2340,Chandrapur,May-13,77.16,97.89,78.83,1225.708
2340,Chandrapur,Jun-13,56.31,90.56,62.18,845.74
2340,Chandrapur,Jul-13,28.82,59.01,48.84,427.5829
2340,Chandrapur,Aug-13,32.76,66.13,49.54,491.5822
2340,Chandrapur,Sep-13,46.90,74.36,63.07,702.6563
2340,Chandrapur,Oct-13,45.31,71.38,63.48,702.45
2340,Chandrapur,Nov-13,51.00,71.08,71.75,773.75
2340,Chandrapur,Dec-13,55.07,73.60,74.83,876.169
2340,Chandrapur,Jan-14,53.09,70.31,75.52,846.235
2340,Chandrapur,Feb-14,57.18,75.43,75.81,820.694
2340,Chandrapur,Mar-14,70.50,91.34,77.18,1123.14
2340,Chandrapur,Apr-14,76.81,96.17,79.87,1186.303
2340,Chandrapur,May-14,65.96,88.52,74.52,1040.877
2340,Chandrapur,Jun-14,61.24,83.45,73.39,936.10
2340,Chandrapur,Jul-14,53.68,74.67,71.89,850.053
2340,Chandrapur,Aug-14,58.56,89.73,65.26,907.207
2340,Chandrapur,Sep-14,45.46,73.55,61.81,679.002
2340,Chandrapur,Oct-14,59.73,87.69,68.12,944.632
2340,Chandrapur,Nov-14,65.13,83.92,77.60,912.00
2340,Chandrapur,Dec-14,58.92,79.43,74.18,939.48
2340,Chandrapur,Jan-15,63.90,85.24,74.97,1018.326
2340,Chandrapur,Feb-15,64.19,80.61,79.63,929.094
2340,Chandrapur,Mar-15,65.37,84.49,77.38,1042.77
2340,Chandrapur,Apr-15,69.48,86.35,80.46,1077.952
2340,Chandrapur,Jun-15,51.65,71.46,72.27,791.18
2340,Chandrapur,Jul-15,54.02,73.58,73.42,857.552
2340,Chandrapur,Aug-15,60.96,89.05,68.45,964.111
2340,Chandrapur,Sep-15,56.09,77.79,72.10,857.52
2340,Chandrapur,Oct-15,65.74,80.50,81.67,1054.091
2340,Chandrapur,Nov-15,70.22,89.52,78.44,1089.53
2340,Chandrapur,Jan-16,49.75,63.14,78.80,798.326
2340,Chandrapur,Feb-16,57.25,72.29,79.20,860.012
2340,Chandrapur,Mar-16,51.33,62.37,82.30,828.98
840,Khaperkheda,30-04-11,87.74,93.44,93.90,480.929
840,Khaperkheda,May-11,72.32,77.46,93.37,409.699
840,Khaperkheda,Jun-11,84.95,98.20,86.51,463.454
840,Khaperkheda,Jul-11,84.12,94.54,88.98,474.532
840,Khaperkheda,Aug-11,72.20,95.34,75.73,403.097
840,Khaperkheda,Sep-11,62.97,90.03,69.94,337.977
840,Khaperkheda,Oct-11,75.51,92.44,81.68,423.580
840,Khaperkheda,Nov-11,80.80,99.20,81.45,441.483
840,Khaperkheda,Dec-11,90.69,98.97,91.63,516.470
840,Khaperkheda,Jan-12,71.28,76.29,93.43,402.800
840,Khaperkheda,Feb-12,90.51,96.14,94.14,481.032
840,Khaperkheda,Mar-12,87.56,92.96,94.19,495.806
1340,Khaperkheda,Apr-13,75.26,97.96,76.83,658.911
1340,Khaperkheda,May-13,68.43,96.87,70.64,613.297
1340,Khaperkheda,Jun-13,46.32,77.17,60.02,393.05
1340,Khaperkheda,Jul-13,53.60,90.86,58.99,470.261
1340,Khaperkheda,Aug-13,44.96,74.85,60.08,393.717
1340,Khaperkheda,Sep-13,38.14,54.17,70.41,320.618
1340,Khaperkheda,Oct-13,59.60,85.56,69.65,533.67
1340,Khaperkheda,Nov-13,63.04,91.15,69.17,548.77
1340,Khaperkheda,Dec-13,62.15,87.29,71.20,561.956
1340,Khaperkheda,Jan-14,66.10,85.16,77.62,601.717
1340,Khaperkheda,Feb-14,81.56,98.39,82.90,672.735
1340,Khaperkheda,Mar-14,75.03,93.81,79.98,684.58
1340,Khaperkheda,Apr-14,66.63,84.44,78.90,587.257
1340,Khaperkheda,May-14,67.02,92.72,72.29,604.661
1340,Khaperkheda,Jun-14,59.99,80.29,74.71,523.16
1340,Khaperkheda,Jul-14,62.14,88.05,70.57,558.696
1340,Khaperkheda,Aug-14,57.69,84.93,67.93,512.050
1340,Khaperkheda,Sep-14,63.81,94.62,67.44,551.52
1340,Khaperkheda,Oct-14,69.32,92.27,75.13,625.967
1340,Khaperkheda,Nov-14,75.41,95.82,78.70,663.63
1340,Khaperkheda,Dec-14,79.54,95.99,82.87,729.66
1340,Khaperkheda,Jan-15,75.89,90.13,84.20,694.537
1340,Khaperkheda,Feb-15,85.48,97.19,87.95,709.411
1340,Khaperkheda,Mar-15,82.49,98.40,83.84,752.84
1340,Khaperkheda,Apr-15,61.74,69.66,88.64,546.226
1340,Khaperkheda,Jun-15,65.55,86.43,75.83,571.24
1340,Khaperkheda,Jul-15,68.73,89.68,76.64,621.323
1340,Khaperkheda,Aug-15,58.21,83.55,69.68,518.269
1340,Khaperkheda,Sep-15,66.87,96.77,69.10,581.88
1340,Khaperkheda,Oct-15,70.04,90.83,77.11,636.889
1340,Khaperkheda,Nov-15,74.43,95.46,77.97,655.90
1340,Khaperkheda,Jan-16,77.87,98.72,78.88,712.205
1340,Khaperkheda,Feb-16,78.18,96.94,80.64,668.058
1340,Khaperkheda,Mar-16,63.40,77.38,81.94,572.54
620,Koradi,30-04-11,81.20,96.76,83.92,323.429
620,Koradi,May-11,85.09,100.00,85.09,350.625
620,Koradi,Jun-11,69.08,86.24,80.11,273.198
620,Koradi,Jul-11,65.74,94.70,69.42,265.278
620,Koradi,Aug-11,60.72,94.65,64.15,243.508
620,Koradi,Sep-11,41.34,71.47,57.84,157.456
620,Koradi,Oct-11,46.07,67.84,67.91,184.732
620,Koradi,Nov-11,56.33,83.06,67.82,220.312
620,Koradi,Dec-11,61.18,90.64,67.50,247.399
620,Koradi,Jan-12,52.57,71.57,73.46,213.084
620,Koradi,Feb-12,64.74,91.28,70.93,245.043
620,Koradi,Mar-12,56.48,79.79,70.78,227.480
620,Koradi,Apr-13,50.73,66.37,76.43,198.17
620,Koradi,May-13,59.06,88.37,66.83,235.93
620,Koradi,Jun-13,32.66,62.05,52.64,120.51
620,Koradi,Jul-13,43.70,74.64,58.54,170.69
620,Koradi,Aug-13,37.31,62.42,59.77,145.50
620,Koradi,Sep-13,24.15,41.14,58.71,88.46
620,Koradi,Oct-13,41.84,65.68,63.71,164.66
620,Koradi,Nov-13,54.90,85.09,64.52,211.64
620,Koradi,Dec-13,47.96,70.11,68.41,191.78
620,Koradi,Jan-14,50.33,74.33,67.71,201.24
620,Koradi,Feb-14,45.56,64.14,71.03,165.46
620,Koradi,Mar-14,44.14,65.17,67.72,177.00
620,Koradi,Apr-14,42.52,61.26,69.40,165.45
620,Koradi,May-14,43.17,60.19,71.72,173.42
620,Koradi,Jun-14,46.25,65.29,70.84,179.37
620,Koradi,Jul-14,62.22,90.75,68.56,168.97
620,Koradi,Aug-14,57.02,89.08,64.01,153.66
620,Koradi,Sep-14,51.93,83.08,62.50,134.41
620,Koradi,Oct-14,39.65,61.33,64.66,157.74
620,Koradi,Nov-14,45.38,64.79,70.04,176.61
620,Koradi,Dec-14,48.74,63.32,76.98,197.39
620,Koradi,Jan-15,43.22,59.08,73.16,174.16
620,Koradi,Feb-15,50.42,65.37,77.13,184.94
620,Koradi,Mar-15,40.34,53.46,75.47,162.61
620,Koradi,Apr-15,40.66,55.44,73.35,157.38
620,Koradi,Jun-15,36.97,52.00,71.09,142.43
620,Koradi,Jul-15,31.84,45.31,70.28,126.07
620,Koradi,Aug-15,41.32,56.57,73.03,166.69
620,Koradi,Sep-15,39.95,55.38,72.14,155.59
620,Koradi,Oct-15,43.19,64.99,66.46,173.93
620,Koradi,Nov-15,25.03,36.30,68.95,96.69
620,Koradi,Jan-16,36.90,52.23,70.64,149.36
620,Koradi,Feb-16,24.18,33.02,73.23,90.54
620,Koradi,Mar-16,0.87,1.09,79.88,0.45
630,Nashik,30-04-11,71.20,90.95,78.28,404.431
630,Nashik,May-11,75.19,95.54,78.70,441.795
630,Nashik,Jun-11,63.34,88.72,72.93,348.251
630,Nashik,Jul-11,54.82,84.10,65.19,225.569
630,Nashik,Aug-11,38.25,66.24,57.75,154.646
630,Nashik,Sep-11,38.53,65.21,59.08,151.068
630,Nashik,Oct-11,62.31,92.38,67.45,257.700
630,Nashik,Nov-11,80.35,88.91,90.38,328.900
630,Nashik,Dec-11,93.40,98.61,94.72,397.124
630,Nashik,Jan-12,86.60,91.72,94.42,363.069
630,Nashik,Feb-12,80.57,84.82,94.99,314.577
630,Nashik,Mar-12,94.22,99.69,94.51,394.530
630,Nashik,Apr-13,79.56,91.18,87.25,321.56
630,Nashik,May-13,83.87,98.13,85.47,350.64
630,Nashik,Jun-13,77.48,94.24,82.22,311.41
630,Nashik,Jul-13,57.33,69.92,82.00,236.45
630,Nashik,Aug-13,65.59,79.83,82.16,271.46
630,Nashik,Sep-13,76.65,94.41,81.19,308.33
630,Nashik,Oct-13,75.53,92.57,81.59,314.65
630,Nashik,Nov-13,79.29,93.44,84.86,321.22
630,Nashik,Dec-13,79.39,94.44,84.06,331.84
630,Nashik,Jan-14,77.86,93.50,83.27,324.97
630,Nashik,Feb-14,70.13,85.26,82.25,264.72
630,Nashik,Mar-14,76.95,90.86,84.69,321.02
630,Nashik,Apr-14,80.95,92.80,87.23,326.72
630,Nashik,May-14,75.95,88.33,85.99,315.26
630,Nashik,Jun-14,83.95,96.91,86.63,338.30
630,Nashik,Jul-14,62.35,73.43,84.92,259.61
630,Nashik,Aug-14,64.23,80.59,79.70,265.12
630,Nashik,Sep-14,76.21,96.88,78.66,305.79
630,Nashik,Oct-14,69.51,86.02,80.80,287.82
630,Nashik,Nov-14,76.06,94.52,80.46,305.53
630,Nashik,Dec-14,78.29,91.12,85.92,326.72
630,Nashik,Jan-15,82.33,97.33,84.59,343.68
630,Nashik,Feb-15,81.11,93.59,86.66,306.21
630,Nashik,Mar-15,83.62,96.73,86.45,349.35
630,Nashik,Apr-15,83.52,93.53,89.30,337.53
630,Nashik,Jun-15,82.56,94.02,87.81,333.79
630,Nashik,Jul-15,56.15,62.36,90.04,232.29
630,Nashik,Aug-15,83.98,95.79,87.67,350.76
630,Nashik,Sep-15,80.53,91.97,87.56,326.16
630,Nashik,Oct-15,84.26,93.38,90.24,353.67
630,Nashik,Nov-15,83.21,92.51,89.95,338.53
630,Nashik,Jan-16,73.10,84.28,86.73,305.88
630,Nashik,Feb-16,74.14,90.12,82.27,289.83
630,Nashik,Mar-16,73.52,90.01,81.68,306.77
500,Paras,30-04-11,85.12,95.45,89.18,276.085
500,Paras,May-11,58.06,73.35,79.16,192.107
500,Paras,Jun-11,72.94,95.54,76.35,234.681
500,Paras,Jul-11,56.79,99.82,56.89,185.630
500,Paras,Aug-11,38.03,79.59,47.79,121.982
500,Paras,Sep-11,27.81,56.46,49.26,85.666
500,Paras,Oct-11,47.41,91.13,52.03,154.040
500,Paras,Nov-11,60.41,99.31,60.83,194.679
500,Paras,Dec-11,70.98,99.72,71.19,238.940
